2026-01-09 14:59:31,Observatoire,3,8
2026-01-09 14:59:31,Rondelet,5,16
2026-01-09 14:59:31,Plan Cabanes,6,12
2026-01-09 14:59:31,Boutonnet,5,12
2026-01-09 14:59:31,Emile Combes,5,8
2026-01-09 14:59:31,Beaux-Arts,11,16
2026-01-09 14:59:31,Les Aubes,4,8
2026-01-09 14:59:31,Antigone centre,8,12
2026-01-09 14:59:31,Médiathèque Emile Zola,7,16
2026-01-09 14:59:31,Nombre d Or,4,16
2026-01-09 14:59:31,Louis Blanc,6,16
2026-01-09 14:59:31,Gambetta,4,8
2026-01-09 14:59:31,Port Marianne,10,16
2026-01-09 15:35:27,Rue Jules Ferry - Gare Saint-Roch,5,12
2026-01-09 15:35:27,Comédie,4,20
2026-01-09 15:35:27,Hôtel de Ville,10,16
2026-01-09 15:35:27,Corum,3,12
2026-01-09 15:35:27,Place Albert 1er - St Charles,10,27
2026-01-09 15:35:27,Foch,1,8
2026-01-09 15:35:27,Halles Castellane,0,12
2026-01-09 15:35:27,Observatoire,3,8
2026-01-09 15:35:27,Rondelet,5,16
2026-01-09 15:35:27,Plan Cabanes,6,12
2026-01-09 15:35:27,Boutonnet,5,12
2026-01-09 15:35:27,Emile Combes,5,8
2026-01-09 15:35:27,Beaux-Arts,11,16
2026-01-09 15:35:27,Les Aubes,4,8
2026-01-09 15:35:27,Antigone centre,9,12
2026-01-09 15:35:27,Médiathèque Emile Zola,7,16
2026-01-09 15:35:27,Nombre d Or,4,16
2026-01-09 15:35:27,Louis Blanc,6,16
2026-01-09 15:35:27,Gambetta,4,8
2026-01-09 15:35:27,Port Marianne,9,16
2026-01-09 15:57:47,Rue Jules Ferry - Gare Saint-Roch,5,12
2026-01-09 15:57:47,Comédie,7,20
2026-01-09 15:57:47,Hôtel de Ville,10,16
2026-01-09 15:57:47,Corum,2,12
2026-01-09 15:57:47,Place Albert 1er - St Charles,10,27
2026-01-09 15:57:47,Foch,1,8
2026-01-09 15:57:47,Halles Castellane,0,12
2026-01-09 15:57:47,Observatoire,3,8
2026-01-09 15:57:47,Rondelet,5,16
2026-01-09 15:57:47,Plan Cabanes,6,12
2026-01-09 15:57:47,Boutonnet,5,12
2026-01-09 15:57:47,Emile Combes,5,8
2026-01-09 15:57:47,Beaux-Arts,11,16
2026-01-09 15:57:47,Les Aubes,4,8
2026-01-09 15:57:47,Antigone centre,9,12
2026-01-09 15:57:47,Médiathèque Emile Zola,7,16
2026-01-09 15:57:47,Nombre d Or,4,16
2026-01-09 15:57:47,Louis Blanc,6,16
2026-01-09 15:57:47,Gambetta,4,8
2026-01-09 15:57:47,Port Marianne,9,16
2026-01-09 16:33:53,Rue Jules Ferry - Gare Saint-Roch,5,12
2026-01-09 16:33:53,Comédie,8,20
2026-01-09 16:33:53,Hôtel de Ville,10,16
2026-01-09 16:33:53,Corum,2,12
2026-01-09 16:33:53,Place Albert 1er - St Charles,10,27
2026-01-09 16:33:53,Foch,1,8
2026-01-09 16:33:53,Halles Castellane,0,12
2026-01-09 16:33:53,Observatoire,3,8
2026-01-09 16:33:53,Rondelet,5,16
2026-01-09 16:33:53,Plan Cabanes,6,12
2026-01-09 16:33:53,Boutonnet,5,12
2026-01-09 16:33:53,Emile Combes,5,8
2026-01-09 16:33:53,Beaux-Arts,11,16
2026-01-09 16:33:53,Les Aubes,4,8
2026-01-09 16:33:53,Antigone centre,9,12
2026-01-09 16:33:53,Médiathèque Emile Zola,6,16
2026-01-09 16:33:53,Nombre d Or,4,16
2026-01-09 16:33:53,Louis Blanc,6,16
2026-01-09 16:33:53,Gambetta,4,8
2026-01-09 16:33:53,Port Marianne,9,16
2026-01-09 16:56:50,Rue Jules Ferry - Gare Saint-Roch,5,12
2026-01-09 16:56:50,Comédie,8,20
2026-01-09 16:56:50,Hôtel de Ville,11,16
2026-01-09 16:56:50,Corum,2,12
2026-01-09 16:56:50,Place Albert 1er - St Charles,10,27
2026-01-09 16:56:50,Foch,1,8
2026-01-09 16:56:50,Halles Castellane,0,12
2026-01-09 16:56:50,Observatoire,3,8
2026-01-09 16:56:50,Rondelet,5,16
2026-01-09 16:56:50,Plan Cabanes,6,12
2026-01-09 16:56:50,Boutonnet,4,12
2026-01-09 16:56:50,Emile Combes,5,8
2026-01-09 16:56:50,Beaux-Arts,11,16
2026-01-09 16:56:50,Les Aubes,4,8
2026-01-09 16:56:50,Antigone centre,9,12
2026-01-09 16:56:50,Médiathèque Emile Zola,6,16
2026-01-09 16:56:50,Nombre d Or,4,16
2026-01-09 16:56:50,Louis Blanc,7,16
2026-01-09 16:56:50,Gambetta,4,8
2026-01-09 16:56:50,Port Marianne,9,16
2026-01-09 17:38:31,Rue Jules Ferry - Gare Saint-Roch,5,12
2026-01-09 17:38:31,Comédie,9,20
2026-01-09 17:38:31,Hôtel de Ville,11,16
2026-01-09 17:38:31,Corum,2,12
2026-01-09 17:38:31,Place Albert 1er - St Charles,10,27
2026-01-09 17:38:31,Foch,1,8
2026-01-09 17:38:31,Halles Castellane,0,12
2026-01-09 17:38:31,Observatoire,3,8
2026-01-09 17:38:31,Rondelet,5,16
2026-01-09 17:38:31,Plan Cabanes,5,12
2026-01-09 17:38:31,Boutonnet,4,12
2026-01-09 17:38:31,Emile Combes,5,8
2026-01-09 17:38:31,Beaux-Arts,11,16
2026-01-09 17:38:31,Les Aubes,4,8
2026-01-09 17:38:31,Antigone centre,8,12
